name,Final_Score,ML_Score,Score_Diff,genres,main_studio
Kusuriya no Hitorigoto,1.4826200888158436,1.5432998521844148,0.06067976336857117,"Drama, Mystery",OLM
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,1.5984235311809283,1.6703196558101563,0.07189612462922801,"Action, Comedy, Sci-Fi",Bandai Namco Pictures
Monster,1.6147854010444576,1.670805575984653,0.0560201749401954,"Drama, Mystery, Suspense",Madhouse
Shingeki no Kyojin: The Final Season - Kanketsu-hen,1.6313858465422064,1.691021470247179,0.05963562370497266,"Action, Drama, Suspense",MAPPA
Ore dake Level Up na Ken Season 2: Arise from the Shadow,1.5303340327868016,1.6011755768831395,0.07084154409633792,"Action, Adventure, Fantasy",A-1 Pictures
Owarimonogatari 2nd Season,1.5472583252024745,1.612459423652076,0.06520109844960142,"Comedy, Mystery, Supernatural",Shaft
Violet Evergarden Movie,1.5817598446149361,1.6389554438906049,0.05719559927566875,"Award Winning, Drama",Kyoto Animation
Kingdom 3rd Season,1.5395665623358226,1.6068036032424065,0.06723704090658389,Action,Pierrot
Kimi no Na wa.,1.6887299965953209,1.6953884018824463,0.006658405287125468,"Award Winning, Drama",CoMix Wave Films
Vinland Saga Season 2,1.6222075159125475,1.678752278902046,0.0565447629894984,"Action, Adventure, Drama",MAPPA
Gintama. Shirogane no Tamashii-hen,1.5944531836346403,1.6606104225853038,0.0661572389506635,"Action, Comedy, Sci-Fi",Bandai Namco Pictures
Mob Psycho 100 II,1.6426626404124516,1.6822807133758872,0.03961807296343567,"Action, Comedy, Supernatural",Bones
Kizumonogatari III: Reiketsu-hen,1.54951974242451,1.606459525258244,0.05693978283373413,"Action, Mystery, Supernatural",Shaft
Shingeki no Kyojin: The Final Season,1.7209694125149044,1.7463419008061258,0.025372488291221407,"Action, Drama, Suspense",MAPPA
Hajime no Ippo,1.5910441443586065,1.6457541629038437,0.05471001854523716,Sports,Madhouse
Kusuriya no Hitorigoto 2nd Season,1.4477775435389315,1.5075649399433837,0.05978739640445219,"Drama, Mystery",OLM
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,1.6501435975518604,1.6904567885734676,0.04031319102160724,Sports,Production I.G
Sen to Chihiro no Kamikakushi,1.6484202059585749,1.6716420913346437,0.02322188537606884,"Adventure, Award Winning, Fantasy",Studio Ghibli
Boku no Kokoro no Yabai Yatsu 2nd Season,1.5408267888678224,1.6026892598561284,0.061862470988305995,"Comedy, Romance",Shin-Ei Animation
Monogatari Series: Second Season,1.5576992698578116,1.613096730430434,0.0553974605726224,"Comedy, Mystery, Romance, Supernatural",Shaft
Bocchi the Rock!,1.563833682201281,1.616299189397444,0.05246550719616305,Comedy,CloverWorks
Vinland Saga,1.6773365387790746,1.7138760921555858,0.03653955337651116,"Action, Adventure, Drama",Wit Studio
Jujutsu Kaisen 2nd Season,1.643708521086729,1.6897319789998706,0.04602345791314155,"Action, Supernatural",MAPPA
Shingeki no Kyojin: The Final Season Part 2,1.6619156870661962,1.7021109921773565,0.04019530511116032,"Action, Drama, Suspense",MAPPA
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,1.5795733465434596,1.6422073259539585,0.06263397941049886,"Action, Drama, Suspense",MAPPA
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,1.5795733465434596,1.6422073259539585,0.06263397941049886,"Action, Drama, Suspense",MAPPA
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,1.5795733465434596,1.6422073259539585,0.06263397941049886,"Action, Drama, Suspense",MAPPA
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,1.5795733465434596,1.6422073259539585,0.06263397941049886,"Action, Drama, Suspense",MAPPA
