Director,Avg_Final_Score,Count,Rank
Zero-G Room,1.1752897445104564,4,205
Bridge,1.1737369182085926,19,206
Phoenix Entertainment,1.1733134636870388,4,207
Signal.MD,1.1710454918092903,19,208
PRA,1.1675641743269425,5,209
Seven,1.167426723792731,28,210
Kamikaze Douga,1.166465129694892,13,211
Typhoon Graphics,1.1650654540237622,10,212
Magic Bus,1.1636935328150053,41,213
Studio Junio,1.1636208905615388,7,214
Studio Blanc.,1.1631330793339838,6,215
Ashi Productions,1.1612716836858332,59,216
Chosen,1.1586333942347349,7,217
Yaoyorozu,1.1585960125560137,10,218
Chaos Project,1.1577368661151484,13,219
Mushi Production,1.1570214697704981,37,220
Marvy Jack,1.1569683898760936,4,221
Triangle Staff,1.153212244463682,31,222
Radix,1.151405392186244,25,223
Pie in the sky,1.1513368750237536,8,224
WAO World,1.1511257229514145,12,225
Daewon Media,1.1501529005452804,5,226
Lesprit,1.1497646703228543,4,227
Production Reed,1.1484054999041606,13,228
EMT Squared,1.1467683573512877,24,229
Gekkou,1.1457144974223887,6,230
Millepensee,1.1448072009080899,25,231
OLM Digital,1.1439239176220355,6,232
Sunrise Beyond,1.1422173772859399,8,233
Scooter Films,1.1397819141064014,5,234
W-Toon Studio,1.137066666917287,15,235
Kokusai Eigasha,1.1369419755838763,5,236
Arms,1.134848996988172,47,237
Seven Stone Entertainment,1.1331245664908447,6,238
DAX Production,1.1321558500071083,8,239
Studio Kikan,1.1316042741364924,5,240
Anima,1.1313932321262858,8,241
Tokyo Kids,1.1282513783368409,24,242
Animation Staff Room,1.1272676598377247,4,243
Kanaban Graphics,1.1254825019032684,10,244
Children's Playground Entertainment,1.1246957341398787,5,245
Vega Entertainment,1.1209586586997033,10,246
Gathering,1.119471104802276,33,247
KSS,1.1144835706609262,6,248
I was a Ballerina,1.111407654140763,8,249
Gaina,1.1100060211996188,10,250
Shanghai Animation Film Studio,1.109627082725718,7,251
animate Film,1.108883007449345,17,252
Xing Yi Kai Chen,1.106353272262629,5,253
Knack Productions,1.101236779105757,17,254
dwarf,1.1002146788812672,14,255
Studio Fantasia,1.0987820576397322,24,256
Topcraft,1.0983821271081462,8,257
Asahi Production,1.0945225627488617,29,258
Jinnis Animation Studios,1.0917730821580502,4,259
Marza Animation Planet,1.0912734636738595,11,260
Trinet Entertainment,1.0905774126301335,9,261
Eiken,1.0865902047534692,33,262
Kaname Productions,1.0861140936923004,6,263
Studio Animal,1.0839996116765274,6,264
Plum,1.0786237671741876,6,265
Gravity Well,1.076386007897587,6,266
Creators in Pack,1.07129484618602,15,267
Saetta,1.06282820313245,5,268
Picture Magic,1.0553408095907109,13,269
Shogakukan Music & Digital Entertainment,1.0460570848491118,12,270
Studio A-CAT,1.0447645409887292,9,271
DLE,1.0436436046144102,56,272
Milky Cartoon,1.031454654626881,7,273
SAMG Entertainment,1.0310346690364378,4,274
Robot Communications,1.0307981979519518,7,275
Alpha Animation,1.0228384102156007,10,276
Artmic,1.0227013677043302,4,277
Yamamura Animation,1.0185618975625568,7,278
G-angle,1.0164017794684799,5,279
ILCA,1.0161860251441952,16,280
Ascension,1.010595919835318,7,281
LandQ studios,1.0015997758492223,4,282
Tecarat,1.0014528486075536,6,283
AQUA ARIS,0.993537136389569,79,284
Kachidoki Studio,0.9700021272140942,9,285
Studio Dadashow,0.9582705765233575,5,286
Charaction,0.9540687079006016,5,287
RG Animation Studios,0.9305916903305985,6,288
Asura Film,0.9294961455501353,6,289
Unknown,0.19439429848162576,1204,290
